recall,precision,threshold
0.8914081145584726,0.5472527472527473,0.3040618598461151
0.8914081145584726,0.5476539589442815,0.3045477867126465
0.8914081145584726,0.5480557593543653,0.3045596778392792
0.8914081145584726,0.5488611315209405,0.30594006180763245
0.8914081145584726,0.549264705882353,0.30604374408721924
0.8914081145584726,0.5496688741721855,0.3063041567802429
0.8914081145584726,0.5500736377025037,0.3068527281284332
0.8914081145584726,0.5504789977892409,0.3073728382587433
0.8902147971360382,0.5501474926253688,0.30854684114456177
0.8902147971360382,0.5505535055350553,0.30854690074920654
0.8902147971360382,0.55096011816839,0.30897846817970276
0.8890214797136038,0.5506282335550629,0.3091560900211334
0.8878281622911695,0.5502958579881657,0.30924221873283386
0.8866348448687351,0.5499629903774982,0.31034472584724426
0.8866348448687351,0.5503703703703704,0.31093016266822815
0.8854415274463007,0.5500370644922165,0.31104588508605957
0.8854415274463007,0.5504451038575667,0.3115808963775635
0.8842482100238663,0.5501113585746102,0.3129367232322693
0.8842482100238663,0.5505200594353641,0.31335553526878357
0.8842482100238663,0.5509293680297398,0.31340333819389343
0.8842482100238663,0.5513392857142857,0.3136357069015503
0.8842482100238663,0.5521609538002981,0.31466174125671387
0.8842482100238663,0.5525727069351231,0.31475740671157837
0.8842482100238663,0.5529850746268656,0.3148227035999298
0.8842482100238663,0.5533980582524272,0.3148227334022522
0.8842482100238663,0.5538116591928252,0.315308541059494
0.8842482100238663,0.5542258788332087,0.3158904016017914
0.8842482100238663,0.5546407185628742,0.3161521553993225
0.8842482100238663,0.5550561797752809,0.3161521852016449
0.8842482100238663,0.5554722638680659,0.31628990173339844
0.883054892601432,0.5551387846961741,0.3165897727012634
0.883054892601432,0.5555555555555556,0.31671836972236633
0.883054892601432,0.5559729526671675,0.3176884651184082
0.8818615751789977,0.5556390977443609,0.31795477867126465
0.8806682577565632,0.5553047404063205,0.3180633783340454
0.8806682577565632,0.5561416729464959,0.31882786750793457
0.8794749403341289,0.5558069381598794,0.32109078764915466
0.8794749403341289,0.5562264150943397,0.3211439847946167
0.8794749403341289,0.5570672713529856,0.3211515247821808
0.8782816229116945,0.556732223903177,0.32132160663604736
0.8770883054892601,0.5563966691900075,0.321336567401886
0.8770883054892601,0.5568181818181818,0.32168254256248474
0.8770883054892601,0.5572403335860501,0.3220001459121704
0.8770883054892601,0.5576631259484067,0.3229881525039673
0.8758949880668258,0.5573272589217919,0.3230929374694824
0.8758949880668258,0.5577507598784195,0.3237336277961731
0.8758949880668258,0.558599695585997,0.3243980407714844
0.8747016706443914,0.5582635186595583,0.3254048228263855
0.8735083532219571,0.5579268292682927,0.32550597190856934
0.8735083532219571,0.5583524027459954,0.3255060017108917
0.8735083532219571,0.5592055003819709,0.3257055878639221
0.8735083532219571,0.5600612088752869,0.32655343413352966
0.8723150357995226,0.5597243491577335,0.32660627365112305
0.8723150357995226,0.5610130468150422,0.32673266530036926
0.8723150357995226,0.5614439324116743,0.3271898925304413
0.8723150357995226,0.5618754803996926,0.3273079991340637
0.8723150357995226,0.5623076923076923,0.3278174102306366
0.8711217183770883,0.5619707467282525,0.328040212392807
0.8711217183770883,0.5624036979969184,0.3283621072769165
0.8711217183770883,0.5628373168851195,0.32848238945007324
0.8711217183770883,0.5632716049382716,0.3289850354194641
0.8711217183770883,0.5637065637065637,0.3289850652217865
0.8711217183770883,0.5641421947449768,0.32910239696502686
0.869928400954654,0.5638051044083526,0.3291291296482086
0.869928400954654,0.5646785437645236,0.3291594982147217
0.8687350835322196,0.5643410852713179,0.329317569732666
0.8675417661097852,0.5640031031807603,0.3295280635356903
0.8675417661097852,0.5648795648795649,0.33023735880851746
0.8675417661097852,0.5653188180404355,0.33068105578422546
0.8663484486873508,0.5649805447470817,0.33078745007514954
0.8663484486873508,0.5654205607476636,0.33105573058128357
0.863961813842482,0.5647425897035881,0.3317786753177643
0.863961813842482,0.565183450429352,0.33232569694519043
0.8627684964200477,0.56484375,0.3325565457344055
0.8615751789976134,0.5645035183737295,0.332952082157135
0.8615751789976134,0.564945226917058,0.3332154154777527
0.860381861575179,0.5646045418950666,0.3341261148452759
0.860381861575179,0.5650470219435737,0.33418306708335876
0.860381861575179,0.5654901960784313,0.33426570892333984
0.860381861575179,0.5659340659340659,0.33454379439353943
0.860381861575179,0.5663786331500392,0.334634393453598
0.860381861575179,0.5668238993710691,0.3348598778247833
0.860381861575179,0.5677165354330709,0.3351936936378479
